Date,Branch,Delivery Channel Sales
2026-01-01,B001,192.63
2026-01-01,B002,136.18
2026-01-01,B004,229.55
2026-01-01,B005,102.18
2026-01-01,B007,133.07
2026-01-02,B001,206.77
2026-01-02,B002,108.91
2026-01-02,B004,237.81
2026-01-02,B005,83.3
2026-01-02,B007,92.66
2026-01-03,B001,257.48
2026-01-03,B002,145.37
2026-01-03,B004,256.31
2026-01-03,B005,99.47
2026-01-03,B007,109.98
2026-01-04,B001,213.16
2026-01-04,B002,129.27
2026-01-04,B004,204.79
2026-01-04,B005,94.85
2026-01-04,B007,102.78
2026-01-05,B001,213.06
2026-01-05,B002,144.66
2026-01-05,B004,219.38
2026-01-05,B005,99.37
2026-01-05,B007,115.73
2026-01-06,B001,183.63
2026-01-06,B002,109.71
2026-01-06,B004,229.16
2026-01-06,B005,93.66
2026-01-06,B007,116.38
2026-01-07,B001,222.56
2026-01-07,B002,134.33
2026-01-07,B004,250.95
2026-01-07,B005,94.29
2026-01-07,B007,122.85
2026-01-08,B001,259.18
2026-01-08,B002,147.48
2026-01-08,B004,224.7
2026-01-08,B005,91.62
2026-01-08,B007,125.87
2026-01-09,B001,217.24
2026-01-09,B002,111.02
2026-01-09,B004,184.44
2026-01-09,B005,90.64
2026-01-09,B007,103.77
2026-01-10,B001,225.39
2026-01-10,B002,121.97
2026-01-10,B004,245.72
2026-01-10,B005,89.46
2026-01-10,B007,123.64
2026-01-11,B001,190.71
2026-01-11,B002,105.01
2026-01-11,B004,236.69
2026-01-11,B005,116.53
2026-01-11,B007,142.06
2026-01-12,B001,220.46
2026-01-12,B002,136.47
2026-01-12,B004,221.73
2026-01-12,B005,87.97
2026-01-12,B007,114.95
2026-01-13,B001,252.99
2026-01-13,B002,125.93
2026-01-13,B004,242.31
2026-01-13,B005,101.05
2026-01-13,B007,120.95
2026-01-14,B001,251.24
2026-01-14,B002,120.94
2026-01-14,B004,252.81
2026-01-14,B005,112.22
2026-01-14,B007,110.17
2026-01-15,B001,248.98
2026-01-15,B002,128.82
2026-01-15,B004,205.97
2026-01-15,B005,112.2
2026-01-15,B007,125.47
2026-01-16,B001,162.49
2026-01-16,B002,118.79
2026-01-16,B004,216.11
2026-01-16,B005,94.18
2026-01-16,B007,126.84
2026-01-17,B001,199.91
2026-01-17,B002,145.6
2026-01-17,B004,260.12
2026-01-17,B005,98.91
2026-01-17,B007,140.63
2026-01-18,B001,230.76
2026-01-18,B002,130.98
2026-01-18,B004,230.25
2026-01-18,B005,102.38
2026-01-18,B007,137.62
2026-01-19,B001,232.56
2026-01-19,B002,125.07
