Month,Branch,Total Budget,Core Retail Budget,Service Channel Budget
2026-01,B001,225432.0,162311.04,63120.96
2026-01,B002,156550.0,125240.0,31310.0
2026-01,B003,134633.0,113091.72,21541.28
2026-01,B004,212908.0,149035.6,63872.4
2026-01,B005,147157.0,120668.74,26488.26
2026-01,B006,103323.0,87824.55,15498.45
2026-01,B007,122109.0,107455.92,14653.08
2026-01,B008,93930.0,80779.8,13150.2
2026-02,B001,203616.0,146603.52,57012.48
2026-02,B002,141400.0,113120.0,28280.0
2026-02,B003,121604.0,102147.36,19456.64
2026-02,B004,192304.0,134612.8,57691.2
2026-02,B005,132916.0,108991.12,23924.88
2026-02,B006,93324.0,79325.4,13998.6
2026-02,B007,110292.0,97056.96,13235.04
2026-02,B008,84840.0,72962.4,11877.6
2026-03,B001,225432.0,162311.04,63120.96
2026-03,B002,156550.0,125240.0,31310.0
2026-03,B003,134633.0,113091.72,21541.28
2026-03,B004,212908.0,149035.6,63872.4
2026-03,B005,147157.0,120668.74,26488.26
2026-03,B006,103323.0,87824.55,15498.45
2026-03,B007,122109.0,107455.92,14653.08
2026-03,B008,93930.0,80779.8,13150.2
2026-04,B001,218160.0,157075.2,61084.8
2026-04,B002,151500.0,121200.0,30300.0
2026-04,B003,130290.0,109443.6,20846.4
2026-04,B004,206040.0,144228.0,61812.0
2026-04,B005,142410.0,116776.2,25633.8
2026-04,B006,99990.0,84991.5,14998.5
2026-04,B007,118170.0,103989.6,14180.4
2026-04,B008,90900.0,78174.0,12726.0
2026-05,B001,225432.0,162311.04,63120.96
2026-05,B002,156550.0,125240.0,31310.0
2026-05,B003,134633.0,113091.72,21541.28
2026-05,B004,212908.0,149035.6,63872.4
2026-05,B005,147157.0,120668.74,26488.26
2026-05,B006,103323.0,87824.55,15498.45
2026-05,B007,122109.0,107455.92,14653.08
2026-05,B008,93930.0,80779.8,13150.2
2026-06,B001,218160.0,157075.2,61084.8
2026-06,B002,151500.0,121200.0,30300.0
2026-06,B003,130290.0,109443.6,20846.4
2026-06,B004,206040.0,144228.0,61812.0
2026-06,B005,142410.0,116776.2,25633.8
2026-06,B007,118170.0,103989.6,14180.4
2026-06,B008,90900.0,78174.0,12726.0
2026-07,B001,225432.0,162311.04,63120.96
2026-07,B002,156550.0,125240.0,31310.0
2026-07,B003,134633.0,113091.72,21541.28
2026-07,B004,212908.0,149035.6,63872.4
2026-07,B005,147157.0,120668.74,26488.26
2026-07,B007,122109.0,107455.92,14653.08
2026-07,B008,93930.0,80779.8,13150.2
2026-08,B001,225432.0,162311.04,63120.96
2026-08,B002,156550.0,125240.0,31310.0
2026-08,B003,134633.0,113091.72,21541.28
2026-08,B004,212908.0,149035.6,63872.4
2026-08,B005,147157.0,120668.74,26488.26
2026-08,B007,122109.0,107455.92,14653.08
2026-08,B008,93930.0,80779.8,13150.2
2026-09,B001,218160.0,157075.2,61084.8
2026-09,B002,151500.0,121200.0,30300.0
2026-09,B003,130290.0,109443.6,20846.4
2026-09,B004,206040.0,144228.0,61812.0
2026-09,B005,142410.0,116776.2,25633.8
2026-09,B007,118170.0,103989.6,14180.4
2026-09,B008,90900.0,78174.0,12726.0
2026-10,B001,225432.0,162311.04,63120.96
2026-10,B002,156550.0,125240.0,31310.0
2026-10,B003,134633.0,113091.72,21541.28
2026-10,B004,212908.0,149035.6,63872.4
2026-10,B005,147157.0,120668.74,26488.26
2026-10,B007,122109.0,107455.92,14653.08
2026-10,B008,93930.0,80779.8,13150.2
2026-11,B001,218160.0,157075.2,61084.8
2026-11,B002,151500.0,121200.0,30300.0
2026-11,B003,130290.0,109443.6,20846.4
2026-11,B004,206040.0,144228.0,61812.0
2026-11,B005,142410.0,116776.2,25633.8
2026-11,B007,118170.0,103989.6,14180.4
2026-11,B008,90900.0,78174.0,12726.0
2026-12,B001,225432.0,162311.04,63120.96
2026-12,B002,156550.0,125240.0,31310.0
2026-12,B003,134633.0,113091.72,21541.28
2026-12,B004,212908.0,149035.6,63872.4
2026-12,B005,147157.0,120668.74,26488.26
2026-12,B007,122109.0,107455.92,14653.08
2026-12,B008,93930.0,80779.8,13150.2
