Date,Branch,Core Retail Sales,Service Channel Sales,Priority Sales,Customer Count
2025-01-01,B001,5491.71,1916.71,2173.36,106
2025-01-01,B002,4163.86,1078.02,1981.93,78
2025-01-01,B003,3610.27,626.95,1402.31,57
2025-01-01,B004,4402.8,1759.65,1956.98,82
2025-01-01,B005,3630.85,810.94,1689.17,67
2025-01-01,B006,2962.97,542.49,1197.73,51
2025-01-01,B008,2830.83,446.88,1053.23,49
2025-01-02,B001,5740.67,2284.28,2668.99,103
2025-01-02,B002,4119.34,1129.16,1685.67,70
2025-01-02,B003,3997.74,778.73,1887.02,63
2025-01-02,B004,5324.4,2052.15,2074.53,104
2025-01-02,B005,3713.42,773.04,1385.59,64
2025-01-02,B006,3014.01,518.4,1230.09,51
2025-01-02,B008,2534.28,446.46,1125.84,39
2025-01-03,B001,4214.12,1723.48,1606.6,82
2025-01-03,B002,3854.88,990.86,1666.87,63
2025-01-03,B003,3378.38,677.62,1316.81,61
2025-01-03,B004,4111.14,1669.85,1592.77,71
2025-01-03,B005,3681.92,779.19,1639.22,62
2025-01-03,B006,2684.45,470.06,1058.84,45
2025-01-03,B008,2319.63,361.05,1011.35,33
2025-01-04,B001,5397.34,1970.29,2642.97,99
2025-01-04,B002,3904.88,889.37,1461.42,63
2025-01-04,B003,4001.8,750.97,1473.7,66
2025-01-04,B004,5453.16,2352.65,2651.54,98
2025-01-04,B005,3603.33,825.31,1616.53,59
2025-01-04,B006,2781.52,503.93,1041.69,45
2025-01-04,B008,2637.79,466.1,1249.94,44
2025-01-05,B001,5315.55,1922.43,2544.24,91
2025-01-05,B002,3837.11,986.08,1685.13,70
2025-01-05,B003,3816.66,732.44,1760.33,61
2025-01-05,B004,4358.57,1793.78,1580.12,76
2025-01-05,B005,4118.76,963.32,1647.41,76
2025-01-05,B006,2994.35,573.44,1111.31,48
2025-01-05,B008,2353.79,401.88,1081.7,40
2025-01-06,B001,5174.2,2034.53,2041.0,90
2025-01-06,B002,4008.56,945.03,1724.12,64
2025-01-06,B003,3436.73,631.27,1681.83,53
2025-01-06,B004,4724.45,2032.91,1775.12,97
2025-01-06,B005,3740.63,835.31,1458.53,66
2025-01-06,B006,2570.64,464.88,1001.94,38
2025-01-06,B008,2813.78,421.89,1100.02,42
2025-01-07,B001,5035.6,1801.86,2425.23,91
2025-01-07,B002,3961.21,1047.32,1841.86,73
2025-01-07,B003,3351.8,630.07,1391.22,54
2025-01-07,B004,4954.38,2208.46,2417.45,106
2025-01-07,B005,3827.68,814.02,1806.73,66
2025-01-07,B006,2654.03,463.83,1101.01,44
2025-01-07,B008,2441.36,429.08,1019.53,36
2025-01-08,B001,5426.93,1905.44,2658.69,92
2025-01-08,B002,4336.0,1178.04,2039.35,80
2025-01-08,B003,3662.97,660.0,1509.64,65
2025-01-08,B004,4527.2,2162.86,1785.87,85
2025-01-08,B005,3861.19,834.88,1870.56,57
2025-01-08,B006,2842.01,522.28,1080.32,48
2025-01-08,B008,2839.23,469.02,1222.25,42
2025-01-09,B001,4933.38,1954.62,2098.52,86
2025-01-09,B002,3838.78,1049.8,1421.94,71
2025-01-09,B003,3842.69,756.5,1500.86,68
2025-01-09,B004,5479.96,2214.65,2396.32,101
2025-01-09,B005,3968.22,885.34,1698.25,60
2025-01-09,B006,2753.16,505.74,1076.56,45
2025-01-09,B008,2815.62,441.39,1129.35,42
2025-01-10,B001,4225.73,1628.15,2069.76,71
2025-01-10,B002,3289.99,775.85,1297.82,50
2025-01-10,B003,3415.89,698.2,1393.82,60
2025-01-10,B004,4451.32,1997.72,1956.43,79
2025-01-10,B005,3592.95,714.24,1675.12,61
2025-01-10,B006,2543.34,486.37,960.01,45
2025-01-10,B008,2110.53,346.98,834.52,32
2025-01-11,B001,5794.47,2107.67,2563.77,113
2025-01-11,B002,4129.28,1117.39,1940.73,78
2025-01-11,B003,3766.3,687.08,1357.6,57
2025-01-11,B004,5227.55,2120.44,2385.65,98
2025-01-11,B005,4063.6,808.11,1502.64,61
2025-01-11,B006,3184.37,566.78,1491.87,50
2025-01-11,B008,2547.0,386.17,1018.99,36
2025-01-12,B001,5433.84,2286.43,2591.18,111
2025-01-12,B002,3907.5,900.48,1802.98,60
2025-01-12,B003,3574.79,696.62,1358.75,53
2025-01-12,B004,5001.13,2384.51,2327.53,92
2025-01-12,B005,3501.29,804.35,1411.67,53
2025-01-12,B006,2980.21,562.33,1386.98,50
2025-01-12,B008,2790.05,421.41,1320.76,40
2025-01-13,B001,4863.68,2027.17,2041.96,97
2025-01-13,B002,4339.46,1026.4,1575.55,78
2025-01-13,B003,3495.13,712.46,1697.57,60
2025-01-13,B004,4993.98,2091.54,2434.81,95
2025-01-13,B005,4305.78,875.18,2093.27,75
2025-01-13,B006,3125.85,527.43,1169.36,50
2025-01-13,B008,2747.12,431.78,1205.46,43
2025-01-14,B001,5113.02,2022.4,2010.0,92
2025-01-14,B002,3590.74,975.42,1544.01,59
2025-01-14,B003,3821.04,751.6,1556.5,68
2025-01-14,B004,5044.82,2079.12,2022.01,90
2025-01-14,B005,4109.62,867.21,1644.7,69
2025-01-14,B006,2805.73,476.19,1056.49,45
2025-01-14,B008,2834.28,476.69,1352.98,44
2025-01-15,B001,5038.81,1980.48,1814.24,99
2025-01-15,B002,3991.52,1013.9,1776.67,68
2025-01-15,B003,3656.54,658.83,1541.29,54
2025-01-15,B004,5235.01,2077.94,1942.31,98
2025-01-15,B005,4040.34,858.55,1884.4,63
2025-01-15,B006,2969.31,497.05,1145.82,52
